Value,Unit,Chemical_Gradient,Parameter_Type,Std_Dev,N,Intra,Inter,Organism,Tissue_Type,Tropism_Type,Context,Physics_Basis,Injured,Healthy,Signaling_Type,Citation
1.0,μm/h,Auxin,Wave velocity peak,,,No,Yes,Arabidopsis thaliana,Shoot apical meristem,Organogenesis,Rhythmic centrifugal waves,"Active transport, polar auxin transport",No,Yes,Auxin gradient wave,Galvan-Ampudia et al. 2020
10.0,mm/h,Auxin,Polar transport velocity,,,No,Yes,Various plants,Vascular tissue,General transport,Basipetal polar transport,PIN protein-mediated efflux,No,Yes,Auxin transport,Leyser 2018
18.3,seconds,Calcium,Wave latency,0.6,22.0,Yes,No,Arabidopsis thaliana,Whole seedling,Gravitropism,Parabolic flight gravistimulation,"Statolith sedimentation, mechanotransduction",No,Yes,Calcium transient,Toyota et al. 2013
1.0,second,Calcium,Response time,,,Yes,No,Arabidopsis thaliana,Root statocytes,Gravitropism,Rapid gravity sensing,Linear gravitational transduction,No,Yes,Calcium influx,Toyota et al. 2013
150.0,μm/min,Calcium,Wave velocity range,,,Yes,Yes,Arabidopsis thaliana,Root tissue,Gravitropism,Auxin-mediated Ca2+ wave,AUX1-dependent calcium signaling,No,Yes,Auxin-calcium coupling,Shih et al. 2015
5.0,minutes,Auxin,Asymmetry establishment time,,,No,Yes,Arabidopsis thaliana,Root tip,Phototropism/Gravitropism,Gravistimulation response,Differential auxin distribution,No,Yes,Auxin gradient formation,Band et al. 2012
10.0,mV,Electric potential,Action potential amplitude,,,Yes,Yes,Solanum lycopersicum,Stem,Thigmotropism,Electrical stimulation response,Ion channel depolarization,No,Yes,Action potential,Macedo et al. 2021
3.6,cm/min,Electric potential,Signal propagation velocity,,,Yes,Yes,Solanum lycopersicum,Stem,Thigmotropism,Basipetal action potential,Electrical signal conduction,No,Yes,Action potential propagation,Macedo et al. 2021
0.09,cm/s,Electric potential,Signal propagation velocity,,,Yes,Yes,Helianthus annuus,Stem,Thigmotropism,Acropetal action potential,Phloem electrical conduction,No,Yes,Action potential propagation,Macedo et al. 2021
100.0,m/s,Hydraulic pressure,Pressure wave velocity,,,Yes,No,Various trees,Xylem vessels,Hydraulic signaling,Moens-Korteweg wave speed,Elastic tube wave propagation,No,Yes,Hydraulic pressure wave,Evans et al. 2017
1.66,mm/s,Water/solutes,Xylem flow velocity,,,No,Yes,Various plants,Xylem conduits,Hydraulic transport,Leaky pipe model average,Pressure-driven flow with radial exchange,No,Yes,Mass flow,Evans et al. 2017
447.0,μm,Water/fluorescein,Radial transfer distance,188.0,,No,Yes,Eucalyptus saligna,Phloem-xylem interface,Hydraulic coupling,Morning water potential gradient,Symplastic water transport through ray parenchyma,No,Yes,Radial water transfer,Pfautsch et al. 2015
4100.0,m/s,Mechanical/acoustic,Acoustic wave velocity,,,Yes,Yes,Acacia mangium,Wood tissue,Mechanical wave propagation,Ultrasonic measurement,Elastic wave propagation in wood matrix,No,Yes,Ultrasonic wave,Van Duong et al. 2024
3800.0,m/s,Mechanical/acoustic,Stress wave velocity,,,Yes,Yes,Acacia mangium,Wood tissue,Mechanical wave propagation,Time-of-flight measurement,Impact-generated stress wave propagation,No,Yes,Stress wave,Van Duong et al. 2024
1.4,μm,Mechanical strain,Wavelength (cell wall buckling),,,Yes,No,Various plants,Primary cell walls,Mechanical stress response,Cell wall waviness formation,Elastic buckling due to strain gradients,No,Yes,Mechanical wave pattern,Lipowczan et al. 2018
